Facility Name,Facility Address,Latitude,Longitude,NAICS Code,Pollutant,Source Type,Emissions in Tons,Year
PQ Corp,101 Ingalls Ave,41.547,-88.0835,325130,PM2.5 Primary (Filt + Cond,,24.784,2011
Benton Airport,N Central St,38.0085,-88.9344,488119,PM2.5 Primary (Filt + Cond,Airport,0.40643981,2011
Wausau Supply Co,1395 Woods Ln,39.7217,-90.1926,444110,PM2.5 Primary (Filt + Cond,,0.0000906977,2011
International Paper Co,401 Northwest Ave,41.9119,-87.9175,322211,PM2.5 Primary (Filt + Cond,,0.09518874,2011
KROHE,Unknown,39.9362,-90.466,48811,PM2.5 Primary (Filt + Cond,Airport,0.00700002,2011
Envirofil of Illnois Inc,13998 E 1400th St,40.4846,-90.6421,562212,PM2.5 Primary (Filt + Cond,Landfill,1.96,2011
VCNA Prairie Illinois Inc LRM Materials LLC Yard 1137,1201 W Washington St,41.8815,-88.2258,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0,2011
Ideal Ready Mix Co Inc,40 W 2nd St,40.6364,-91.169,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.0029684527,2011
WELCH,Unknown,40.1004,-87.5748,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Rossi Contractors Inc,O Hare Airport,41.9773,-87.9044,212312,PM2.5 Primary (Filt + Cond,,0.0724138,2011
MMF2,802 SE 19th Ave,41.1944,-90.7274,332813,PM2.5 Primary (Filt + Cond,,0.0676471,2011
Sethness Greenleaf Inc,1826 N Lorel Ave,41.9139,-87.7598,311930,PM2.5 Primary (Filt + Cond,,0,2011
The Sherwin-Williams Co,14 Industrial Park,38.6697,-88.4617,325510,PM2.5 Primary (Filt + Cond,,0.042,2011
Edward Hospital,801 S Washington St,41.7597,-88.1516,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.60066622,2011
DURBIN,Unknown,39.6337,-88.6374,48811,PM2.5 Primary (Filt + Cond,Airport,0.00700329,2011
Seneca Petroleum Co Inc,12460 S New Ave,41.661,-88.0427,324199,PM2.5 Primary (Filt + Cond,,0.23,2011
ADM Grain Co,RR 3,40.1767,-88.8697,424510,PM2.5 Primary (Filt + Cond,,0.380467353,2011
Bulk Molding Compounds Inc,1600 Powis Ct,41.9139,-88.2357,325991,PM2.5 Primary (Filt + Cond,,0.075,2011
Swedish American Hospital,1401 E State St,42.2659,-89.0736,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
VA Illiana Health Care System,1900 E Main,40.1226,-87.5881,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
